quotes,author
"""What i like about photographs is that they capture a moment that’s gone forever, impossible to reproduce.""",Karl Lagerfeld
"A picture is a secret about a secret, the more it tells you the less you know",Diane Arbus
"""Taking pictures is savoring life intensely, every hundredth of a second.""",Marc Riboud
"""You don't take a photograph, you make it.""",Ansel Adams
"""The camera is an instrument that teaches people how to see without a camera.""",Dorothea Lange
"""A good snapshot keeps a moment from running away.""",Eudora Welty
"""The Earth is Art, The Photographer is only a Witness""",Yann Arthus-Bertrand
"""There are no rules for good photographs, there are only good photographs.""",Ansel Adams
"""There is nothing worse than a sharp image of a fuzzy concept.""",Ansel Adams
"""Photography is a reality so subtle that it becomes more real than reality""",Alfred Stieglitz
